Full name,Session,Mouse,Date,Session type,Cohort,Timing of ABA,ABA phenotype,Learnt R1 within 20 sessions?,Resistant rats to exclude,Non-learners to exclude,Sessions to exclude,Sessions post-criterion,Sessions to exclude for time spent in arena,Grooming (total duration in secs),Inactive (total duration in secs),Investigating (total duration in secs),Locomote (total duration in secs),Rearing (total duration in secs),Rotate body (total duration in secs),Grooming (bout frequency),Inactive (bout frequency),Investigating (bout frequency),Locomote (bout frequency),Rearing (bout frequency),Rotate body (bout frequency)
Black 0 Session 2 (2021-11-07),Session 2,Black 0,2021-11-07,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,6.8,689.6333333333334,263.2666666666666,69.46666666666667,279.3666666666667,342.26666666666677,4,216,121,74,143,245
Black 0 Session 2 (2021-11-09),Session 2,Black 0,2021-11-09,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,3.5,95.0,101.86666666666666,8.933333333333334,40.86666666666666,48.43333333333334,1,23,23,7,17,37
Black 0 Session 3 (2021-08-16),Session 3,Black 0,2021-08-16,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,6.633333333333333,487.93333333333317,880.5,67.7333333333333,115.43333333333331,251.4666666666667,5,183,214,73,80,164
Black 0 Session 3 (2021-08-18),Session 3,Black 0,2021-08-18,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,9.766666666666666,694.1,565.4,67.43333333333335,64.36666666666667,216.9333333333333,3,137,136,76,52,127
Black 0 Session 3 (2021-08-19),Session 3,Black 0,2021-08-19,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,6.066666666666666,901.7333333333336,288.0666666666668,57.53333333333337,48.49999999999999,145.40000000000003,3,85,116,70,45,109
Black 0 Session 3 (2021-09-20),Session 3,Black 0,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,0.0,98.30000000000001,84.20000000000002,30.633333333333344,39.26666666666667,82.7,0,44,53,41,31,77
Black 0 Session 3 (2021-09-22),Session 3,Black 0,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,10.166666666666666,244.49999999999997,114.26666666666664,17.233333333333334,24.133333333333333,72.69999999999999,6,55,38,22,17,60
Black 0 Session 3 (2021-09-29),Session 3,Black 0,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,32.666666666666664,489.6333333333331,459.0666666666667,55.26666666666667,43.56666666666667,204.39999999999995,14,155,162,63,51,158
Black 0 Session 3 (2021-09-30),Session 3,Black 0,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,35.06666666666667,838.666666666667,555.1000000000003,53.666666666666664,71.6,283.8999999999999,18,205,180,58,62,200
Black 0 Session 3 (2021-10-02),Session 3,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,47.76666666666667,993.5666666666665,279.1333333333334,17.566666666666666,65.2,167.5666666666667,19,162,100,21,27,126
Black 0 Session 3 (2021-10-03),Session 3,Black 0,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,94.0,1102.2333333333333,308.00000000000006,8.8,64.56666666666666,160.89999999999998,24,152,89,9,24,113
Black 0 Session 3 (2021-10-04),Session 3,Black 0,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,44.7,1468.5666666666668,95.39999999999999,7.466666666666667,27.900000000000006,82.16666666666664,19,100,43,9,17,69
Black 0 Session 3 (2021-10-05),Session 3,Black 0,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,69.26666666666667,1227.766666666667,312.43333333333317,10.066666666666668,29.43333333333333,91.43333333333328,18,141,88,11,20,79
Black 0 Session 3 (2021-11-03),Session 3,Black 0,2021-11-03,PD,Cohort 3,Before ABA,Susceptible,Yes,,,,,,0.0,756.7666666666669,297.1333333333332,39.16666666666666,224.06666666666658,213.76666666666657,0,165,126,48,101,169
Black 0 Session 3 (2021-11-07),Session 3,Black 0,2021-11-07,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,11.166666666666668,793.799999999999,344.6666666666668,68.86666666666665,170.5,308.29999999999995,8,247,170,84,122,276
Black 0 Session 3 (2021-11-09),Session 3,Black 0,2021-11-09,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,Exclude,,22.500000000000004,136.4666666666667,301.8999999999998,41.699999999999996,33.233333333333334,86.7,15,55,66,55,36,92
Black 0 Session 4 (2021-09-29),Session 4,Black 0,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,39.86666666666666,670.8333333333334,609.4999999999999,70.03333333333332,62.0,257.5666666666666,17,193,192,76,49,182
Black 0 Session 4 (2021-09-30),Session 4,Black 0,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,22.633333333333333,522.2333333333332,414.7,57.233333333333356,43.79999999999999,160.2,7,105,134,62,43,115
Black 0 Session 4 (2021-10-02),Session 4,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,46.79999999999999,933.6333333333334,458.3666666666667,22.39999999999999,99.33333333333334,182.96666666666678,17,181,146,24,48,140
Black 0 Session 4 (2021-10-03),Session 4,Black 0,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,8.133333333333333,1293.3666666666663,88.73333333333333,9.166666666666666,36.63333333333334,60.76666666666667,4,72,41,9,20,48
Black 0 Session 4 (2021-10-04),Session 4,Black 0,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,11.733333333333333,1673.8,23.166666666666664,4.833333333333334,8.966666666666667,38.699999999999996,3,38,9,4,6,34
Black 0 Session 4 (2021-11-07),Session 4,Black 0,2021-11-07,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,20.433333333333334,632.1666666666673,515.3666666666668,82.19999999999997,113.76666666666667,262.7666666666667,9,191,161,73,77,221
Black 0 Session 4 (2021-11-09),Session 4,Black 0,2021-11-09,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,Exclude,,4.4,79.7,126.73333333333333,9.633333333333335,28.63333333333333,68.8,4,24,26,14,19,43
Black 0 Session 5 (2021-09-29),Session 5,Black 0,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,16.53333333333333,201.96666666666673,132.26666666666668,15.566666666666666,13.0,72.36666666666665,8,46,37,16,9,52
Black 0 Session 5 (2021-10-02),Session 5,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,39.43333333333333,847.6000000000001,242.23333333333338,16.76666666666667,62.36666666666667,131.6,8,125,91,18,37,104
Black 0 Session 5 (2021-10-04),Session 5,Black 0,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,20.433333333333334,772.0333333333335,97.16666666666669,6.633333333333334,37.4,69.33333333333333,7,62,44,7,15,48
Black 0 Session 5 (2021-11-07),Session 5,Black 0,2021-11-07,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,33.89999999999999,555.1333333333332,436.6666666666666,73.1666666666667,116.63333333333338,232.60000000000008,14,149,140,76,84,210
Black 0 Session 6 (2021-10-02),Session 6,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,10.233333333333334,410.5666666666667,60.96666666666667,2.466666666666667,8.533333333333333,64.33333333333333,5,58,27,2,7,49
Black 1 Session 1 (2021-08-13),Session 1,Black 1,2021-08-13,PD,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,6.6000000000000005,318.3666666666667,597.3666666666669,101.3,243.03333333333333,242.13333333333335,4,172,213,119,117,187
Black 1 Session 1 (2021-08-18),Session 1,Black 1,2021-08-18,PD,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,0.7333333333333334,85.03333333333333,322.53333333333325,55.70000000000001,48.56666666666668,113.93333333333334,1,49,90,65,35,80
Black 1 Session 1 (2021-08-19),Session 1,Black 1,2021-08-19,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,12.899999999999999,1004.5333333333334,241.06666666666666,5.333333333333333,94.76666666666665,146.80000000000007,5,131,90,7,43,88
Black 1 Session 1 (2021-08-20),Session 1,Black 1,2021-08-20,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,46.400000000000006,851.6333333333331,421.7666666666665,10.766666666666667,161.9,114.53333333333332,11,185,144,14,67,89
Black 1 Session 1 (2021-08-21),Session 1,Black 1,2021-08-21,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,9.766666666666666,1464.1999999999998,210.43333333333334,3.4333333333333336,100.60000000000004,45.56666666666666,6,87,73,3,33,37
Black 1 Session 1 (2021-08-22),Session 1,Black 1,2021-08-22,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,3.566666666666667,1103.1333333333334,412.3,12.0,122.93333333333332,79.86666666666667,3,137,126,10,40,61
Black 1 Session 1 (2021-08-23),Session 1,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,Exclude,4.1,783.9666666666667,650.2333333333336,2.9,74.70000000000002,35.599999999999994,2,87,73,2,25,26
Black 1 Session 1 (2021-09-20),Session 1,Black 1,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,15.766666666666666,560.7666666666668,669.9999999999999,100.43333333333331,242.03333333333333,249.9999999999999,10,201,227,114,109,200
Black 1 Session 1 (2021-09-22),Session 1,Black 1,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,10.233333333333333,514.5999999999998,462.9333333333335,94.79999999999997,82.60000000000002,249.4333333333333,8,176,191,107,65,192
Black 1 Session 1 (2021-09-29),Session 1,Black 1,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,10.366666666666667,1471.1666666666665,162.23333333333335,3.0666666666666664,63.59999999999999,50.866666666666674,7,90,65,4,24,48
Black 1 Session 1 (2021-09-30),Session 1,Black 1,2021-09-30,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,0.0,178.69999999999996,77.86666666666666,0.8333333333333334,15.833333333333332,13.766666666666667,0,23,23,1,8,14
Black 1 Session 1 (2021-11-03),Session 1,Black 1,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,6.766666666666666,507.6000000000002,419.4000000000001,148.53333333333333,312.1666666666666,218.2333333333334,4,196,219,188,209,252
Black 1 Session 1 (2021-11-05),Session 1,Black 1,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,5.5,946.8,378.2333333333333,59.66666666666668,178.06666666666663,135.7333333333334,2,147,139,65,89,134
Black 1 Session 1 (2021-11-07),Session 1,Black 1,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.6666666666666667,732.7666666666663,306.86666666666673,109.90000000000003,355.39999999999986,170.50000000000003,1,221,192,156,231,210
Black 1 Session 1 (2021-11-09),Session 1,Black 1,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,10.399999999999999,742.4999999999998,204.86666666666665,54.233333333333334,158.33333333333334,102.1666666666667,6,116,116,70,81,102
Black 1 Session 1 (2021-11-10),Session 1,Black 1,2021-11-10,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,Exclude,15.4,404.76666666666665,101.89999999999998,30.700000000000006,115.93333333333334,43.39999999999999,2,59,52,42,50,49
Black 1 Session 2 (2021-08-17),Session 2,Black 1,2021-08-17,PD,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,6.6,421.89999999999975,150.7333333333334,47.73333333333332,72.63333333333334,162.4,4,117,63,45,46,127
Black 1 Session 2 (2021-08-18),Session 2,Black 1,2021-08-18,PD,Cohort 1,Before ABA,Susceptible,No,,Exclude,,Exclude,,0.0,158.20000000000002,281.86666666666656,50.266666666666666,28.73333333333333,104.83333333333331,0,56,72,63,30,88
Black 1 Session 2 (2021-08-19),Session 2,Black 1,2021-08-19,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,10.499999999999998,595.8999999999997,576.9333333333332,69.43333333333331,205.33333333333334,274.59999999999985,7,178,183,71,94,200
Black 1 Session 2 (2021-08-20),Session 2,Black 1,2021-08-20,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,26.533333333333335,1036.4,345.96666666666664,23.599999999999998,118.79999999999998,112.60000000000004,9,147,127,25,55,82
Black 1 Session 2 (2021-08-21),Session 2,Black 1,2021-08-21,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,322.6000000000001,787.6333333333338,251.03333333333342,13.466666666666669,83.46666666666668,101.4,27,143,101,17,35,88
Black 1 Session 2 (2021-08-22),Session 2,Black 1,2021-08-22,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,18.466666666666665,1231.3333333333335,289.96666666666664,2.0,57.20000000000001,75.73333333333335,13,102,87,2,28,59
Black 1 Session 2 (2021-08-23),Session 2,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,4.666666666666667,1368.1333333333337,282.8333333333335,4.766666666666667,43.29999999999999,74.3,7,147,106,6,26,66
Black 1 Session 2 (2021-09-20),Session 2,Black 1,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,45.766666666666666,635.3666666666667,548.5666666666667,110.36666666666665,161.4666666666666,305.4666666666664,32,257,232,130,118,287
Black 1 Session 2 (2021-09-22),Session 2,Black 1,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,7.366666666666667,286.7333333333334,223.09999999999988,76.70000000000003,95.76666666666665,191.33333333333331,6,102,119,85,53,143
Black 1 Session 2 (2021-09-29),Session 2,Black 1,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,10.633333333333333,1028.3666666666666,307.03333333333336,10.3,31.43333333333334,54.03333333333333,4,92,67,11,16,46
Black 1 Session 2 (2021-11-03),Session 2,Black 1,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,6.5,449.2000000000001,342.4,97.03333333333332,446.6333333333335,182.13333333333333,3,155,163,128,210,183
Black 1 Session 2 (2021-11-05),Session 2,Black 1,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,16.2,1106.0333333333333,287.5333333333333,74.83333333333336,169.86666666666673,140.8333333333334,7,201,166,84,99,135
Black 1 Session 2 (2021-11-07),Session 2,Black 1,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,7.166666666666667,769.1000000000001,271.5666666666667,82.56666666666669,145.73333333333338,138.5666666666667,2,174,159,119,108,143
Black 1 Session 2 (2021-11-09),Session 2,Black 1,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,160.63333333333333,95.10000000000001,36.500000000000014,62.49999999999999,68.36666666666667,0,51,57,39,39,66
Black 1 Session 2 (2021-11-10),Session 2,Black 1,2021-11-10,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.43333333333333335,253.3333333333333,177.63333333333327,44.00000000000001,78.80000000000001,66.99999999999999,1,57,79,71,63,82
Black 1 Session 3 (2021-08-19),Session 3,Black 1,2021-08-19,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,19.6,908.0666666666665,400.1333333333333,26.199999999999996,83.23333333333333,157.56666666666666,12,144,124,33,46,122
Black 1 Session 3 (2021-08-20),Session 3,Black 1,2021-08-20,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,1.7999999999999998,854.8666666666667,448.66666666666674,16.900000000000002,128.3,106.76666666666661,2,162,138,19,46,91
Black 1 Session 3 (2021-08-21),Session 3,Black 1,2021-08-21,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,15.733333333333333,1230.5666666666668,331.7666666666667,6.7,80.09999999999998,114.23333333333336,8,139,93,8,33,85
Black 1 Session 3 (2021-08-22),Session 3,Black 1,2021-08-22,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,9.633333333333333,899.0333333333333,727.3333333333331,4.2,60.73333333333333,75.66666666666666,4,139,117,5,24,64
Black 1 Session 3 (2021-08-23),Session 3,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,18.8,1293.2666666666667,280.96666666666675,20.2,45.80000000000001,104.06666666666666,11,163,114,25,26,90
Black 1 Session 3 (2021-09-20),Session 3,Black 1,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,11.666666666666666,593.2999999999998,561.033333333333,114.96666666666664,170.03333333333336,275.1000000000001,7,231,236,133,108,228
Black 1 Session 3 (2021-09-22),Session 3,Black 1,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,Exclude,,17.900000000000002,342.6333333333334,190.30000000000004,62.300000000000026,54.2,134.26666666666662,11,98,105,68,37,108
Black 1 Session 3 (2021-09-29),Session 3,Black 1,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,2.5666666666666664,482.3666666666666,84.0,7.633333333333334,28.833333333333336,53.499999999999986,3,86,48,10,19,45
Black 1 Session 3 (2021-11-03),Session 3,Black 1,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,14.633333333333333,480.3000000000001,265.09999999999997,79.13333333333333,129.19999999999996,108.23333333333339,8,116,135,98,79,123
Black 1 Session 3 (2021-11-07),Session 3,Black 1,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,5.433333333333334,1156.1000000000001,292.2000000000002,80.63333333333338,104.83333333333334,121.80000000000004,3,192,167,114,73,136
Black 1 Session 3 (2021-11-09),Session 3,Black 1,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,6.200000000000001,209.9333333333334,167.86666666666662,46.06666666666667,41.800000000000004,98.7333333333333,3,57,80,64,36,88
Black 1 Session 3 (2021-11-10),Session 3,Black 1,2021-11-10,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,4.4,288.2,139.80000000000004,43.23333333333335,51.69999999999999,70.06666666666669,3,58,78,63,49,79
Black 1 Session 4 (2021-08-21),Session 4,Black 1,2021-08-21,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,48.63333333333333,1293.0333333333333,184.20000000000002,3.3666666666666667,17.866666666666667,75.10000000000001,24,84,54,3,9,39
Black 1 Session 4 (2021-08-22),Session 4,Black 1,2021-08-22,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,18.366666666666667,1204.8000000000002,404.29999999999995,5.6000000000000005,35.800000000000004,97.13333333333334,10,132,113,6,16,71
Black 1 Session 4 (2021-08-23),Session 4,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,3.6666666666666665,1284.8333333333333,300.90000000000003,12.133333333333335,68.16666666666666,91.9,4,145,132,14,35,71
Black 1 Session 4 (2021-09-22),Session 4,Black 1,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,Exclude,,3.2666666666666666,207.0,154.76666666666665,55.133333333333354,38.06666666666666,115.36666666666669,3,68,88,63,29,96
Black 1 Session 4 (2021-09-29),Session 4,Black 1,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,3.366666666666667,291.93333333333334,96.39999999999995,4.533333333333333,33.5,48.66666666666665,3,67,39,5,24,43
Black 1 Session 4 (2021-11-07),Session 4,Black 1,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,10.7,847.0999999999998,268.8666666666669,78.39999999999998,125.56666666666669,112.36666666666667,2,144,134,113,78,133
Black 1 Session 4 (2021-11-09),Session 4,Black 1,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,156.46666666666667,68.23333333333333,18.93333333333333,6.866666666666667,38.79999999999998,0,27,37,33,13,42
